"OBJECTID_1","OBJECTID","HAZUSID","Name","Address","City","Zip","COUNTY","X","Y","LONGLAT","USNG","OWNERSHIP","PARCELID","FACILITY_T","TTL_BEDS","EFCLASS","Asset_Elevation","Owned_Maintained","Asset","Asset_Sub_Type","Asset_Type","Asset_Group","Asset_Relevancy","Asset_ID","Municipality","Water_Management_District","Souce_Dataset_Entity","Souce_Dataset_Name","Source_Asset_ID","Restricted_Public_Disclosure","Notes","Regional_Planning_Council","FDEP_Regulatory_District","RCP_Region","FDOT_District","House_District_Number","Senate_District_Number","CTF_RL_2020","CTF_RL_2040_IL","CTF_RL_2040_INT","CTF_RL_2070_IL","CTF_RL_2070_INT","SSF_RL_100YR_CURR","SSF_RL_100YR_2040_IL","SSF_RL_100YR_2040_INT","SSF_RL_100YR_2070_IL","SSF_RL_100YR_2070_INT","SSF_RL_500YR_CURR","SSF_RL_500YR_2040_IL","SSF_RL_500YR_2040_INT","SSF_RL_500YR_2070_IL","SSF_RL_500YR_2070_INT","RIF_RL_100YR_2020","RIF_RL_100YR_2040","RIF_RL_100YR_2070","RIF_RL_500YR_2020","RIF_RL_500YR_2040","RIF_RL_500YR_2070"
"281","281"," ","BAYFRONT HEALTH DADE CTY","13100 FORT KING RD","DADE CITY","33525","Pasco","-82.2007184","28.34799249","-82.20071840,28.34799249","17R LM 82319 36337"," "," ","HOSPITAL - ACUTE CARE","120","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_281","Dade City","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","54","23","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"282","282"," ","MDCL CNTR OF TRINITY W PASCO CAMPUS","5637 MARINE PKWY","NEW PORT RICHEY","34652","Pasco","-82.72076009","28.23570978","-82.72076009,28.23570978","17R LM 31165 24513"," "," ","HOSPITAL - ACUTE CARE","46","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_282","New Port Richey","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","56","21","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium"
"283","283"," ","NORTHSIDE HOSP","6000 49TH ST N","SAINT PETERSBURG","33709","Pinellas","-82.7023313","27.82523007","-82.70233130,27.82523007","17R LL 32339 79005"," "," ","HOSPITAL - ACUTE CARE","288","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_283",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","61","18","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Low"
"284","284"," ","EDWARD WHTE HOSP","2323 9TH AVE N","SAINT PETERSBURG","33713","Pinellas","-82.66426453","27.78166672","-82.66426453,27.78166672","17R LL 36023 74127"," "," ","HOSPITAL - ACUTE CARE","162","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_284","St. Petersburg","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","60","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","High","High","High","High","High"
"285","285"," ","PALMS OF PASADENA HOSP","1501 PASADENA AVE S","SAINT PETERSBURG","33707","Pinellas","-82.74069145","27.75225616","-82.74069145,27.75225616","17R LL 28445 70972"," "," ","HOSPITAL - ACUTE CARE","307","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_285","South Pasadena","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","61","18","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","High","High","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"286","286"," ","ST PETERSBURG GENERAL HOSPITAL","6500 38TH AVE N","SAINT PETERSBURG","33710","Pinellas","-82.72781447","27.805536149999998","-82.72781447,27.80553615","17R LL 29798 76858"," "," ","HOSPITAL - ACUTE CARE","215","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_286","St. Petersburg","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","61","18","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium"
"287","287"," ","ST ANTHONYS HOSP","1200 7TH AVE N","SAINT PETERSBURG","33705","Pinellas","-82.65077378","27.77897","-82.65077378,27.77897000","17R LL 37348 73810"," "," ","HOSPITAL - ACUTE CARE","393","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_287","St. Petersburg","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","60","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"288","288"," ","LARGO MEDICAL CENTER - INDIAN ROCKS","2025 INDIAN ROCKS RD","LARGO","33774","Pinellas","-82.82531425","27.89845727","-82.82531425,27.89845727","17R LL 20345 87293"," "," ","HOSPITAL - ACUTE CARE","169","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_288","Largo","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","59","18","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"289","289"," ","MEASE DUNEDIN HOSP","601 MAIN ST","DUNEDIN","34698","Pinellas","-82.78303547","28.01288286","-82.78303547,28.01288286","17R LL 24692 99910"," "," ","HOSPITAL - ACUTE CARE","120","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_289","Dunedin","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","58","21","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"290","290"," ","LARGO MEDICAL CNTR","201 14TH ST SW","LARGO","33770","Pinellas","-82.80379158","27.91370418","-82.80379158,27.91370418","17R LL 22488 88951"," "," ","HOSPITAL - ACUTE CARE","256","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_290","Largo","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","59","18","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","High","High"
"291","291"," ","MEASE COUNTRYSIDE HOSP","3231 MCMULLEN BOOTH RD","SAFETY HARBOR","34695","Pinellas","-82.70843516","28.03875956","-82.70843516,28.03875956","17R LM 32068 02673"," "," ","HOSPITAL - ACUTE CARE","311","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_291","Safety Harbor","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","57","21","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"292","292"," ","FL HOSP N PINELLAS","1395 S PINELLAS AVE","TARPON SPRINGS","34689","Pinellas","-82.75805476","28.1328459","-82.75805476,28.13284590","17R LM 27340 13167"," "," ","HOSPITAL - ACUTE CARE","168","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_292","Tarpon Springs","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","57","21","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"293","293"," ","BAYCARE ALLIANT HOSP","601 MAIN ST","DUNEDIN","34698","Pinellas","-82.78267142","28.01288286","-82.78267142,28.01288286","17R LL 24728 99910"," "," ","HOSPITAL - ACUTE CARE","48","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_293","Dunedin","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","58","21","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"294","294"," ","MORTON PLANT HOSP","300 PINELLAS ST","CLEARWATER","33756","Pinellas","-82.80325149","27.95322893","-82.80325149,27.95322893","17R LL 22606 93330"," "," ","HOSPITAL - ACUTE CARE","687","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_294","Clearwater","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","58","21","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","High","High","High"
"295","295"," ","ALL CHILDREN'S HOSP","501 6TH AVE S","SAINT PETERSBURG","33701","Pinellas","-82.64011762","27.7646412","-82.64011762,27.76464120","17R LL 38377 72208"," "," ","HOSPITAL - PEDIATRIC","259","EFHL",,,"HOSPITAL - PEDIATRIC",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_295","St. Petersburg","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","60","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"296","296"," ","HEALTHSOUTH REHAB HOSP OF LARGO","901 N CLEARWATER/LARGO RD","LARGO","33770","Pinellas","-82.79664401","27.92543054","-82.79664401,27.92543054","17R LL 23211 90240"," "," ","HOSPITAL","70","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_296","Largo","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","59","18","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"297","297"," ","WINDMOOR HEALTHCARE OF CLEARWATER","11300 US HWY 19 N","CLEARWATER","33764","Pinellas","-82.71061937","27.87509105","-82.71061937,27.87509105","17R LL 31599 84541"," "," ","HOSPITAL","144","EFHL",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_297","Pinellas Park","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","60","18","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"298","298"," ","KINDRED HOSP/BAY AREA/ST PETE","3030 6TH ST S","SAINT PETERSBURG","33705","Pinellas","-82.63951822","27.74114617","-82.63951822,27.74114617","17R LL 38402 69604"," "," ","HOSPITAL","82","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_298","St. Petersburg","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","62","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"299","299"," ","BAYFRONT HEALTH - ST PETERSBURG","701 6TH ST S","SAINT PETERSBURG","33701","Pinellas","-82.64322537","27.76327695","-82.64322537,27.76327695","17R LL 38069 72061"," "," ","HOSPITAL - TRAUMA","480","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_299","St. Petersburg","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","60","16","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"300","300"," ","BAY PINES VA HEALTHCARE SYSTEM","10000 BAY PINES BLVD","BAY PINES","33744","Pinellas","-82.77886506","27.81123264","-82.77886506,27.81123264","17R LL 24777 77561"," "," ","HOSPITAL - VA","153","EFHL",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_300",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Southwest","7","61","18","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"301","301"," ","REGENCY CENTER FOR WOMEN & INFANTS","101 AVE O SE","WINTER HAVEN","33880","Polk","-81.726222","28.00839577","-81.72622200,28.00839577","17R ML 28600 98344"," "," ","HOSPITAL","61","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_301","Winter Haven","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","Southwest District","Southwest","1","48","12","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Not Affected","Not Affected","Not Affected","Low"
"302","302"," ","WINTER HAVEN HOSPITAL","200 AVE F NE","WINTER HAVEN","33881","Polk","-81.72472465","28.02871878","-81.72472465,28.02871878","17R MM 28761 00595"," "," ","HOSPITAL - ACUTE CARE","468","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_302","Winter Haven","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","Southwest District","Southwest","1","48","12","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"303","303"," ","LAKELAND REGIONAL MEDICAL CNTR","1324 LAKELAND HILLS BLVD","LAKELAND","33805","Polk","-81.954098","28.060929","-81.95409800,28.06092900","17R MM 06241 04319"," "," ","HOSPITAL - TRAUMA","849","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_303","Lakeland","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","Southwest District","Southwest","1","50","12","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","High","High","High","High","High"
"304","304"," ","LAKE WALES MEDICAL CNTR","410 S 11TH ST","LAKE WALES","33853","Polk","-81.56524952","27.89679624","-81.56524952,27.89679624","17R ML 44369 85898"," "," ","HOSPITAL - ACUTE CARE","160","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_304","Lake Wales","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","Southwest District","Southwest","1","48","12","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","Medium","High","High","High","High"
"305","305"," ","BARTOW REG MED CENT","2200 OSPREY BLVD","BARTOW","33831","Polk","-81.84455607","27.91893268","-81.84455607,27.91893268","17R ML 16897 88508"," "," ","HOSPITAL - ACUTE CARE","72","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_305","Bartow","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","Southwest District","Southwest","1","49","27","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"306","306"," ","HEART OF FLORIDA REGIONAL MED CNTR","40100 US HWY 27 N","DAVENPORT","33837","Polk","-81.64255467","28.18139883","-81.64255467,28.18139883","17R MM 36927 17464"," "," ","HOSPITAL - ACUTE CARE","193","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_306","Haines City","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Central Florida","Southwest District","Southwest","1","51","12","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","Medium"
"307","307"," ","PUTNAM COMMUNITY MEDICAL CNTR","611 ZEAGLER DR","PALATKA","32177","Putnam","-81.69241288","29.64237968","-81.69241288,29.64237968","17R MN 32979 79359"," "," ","HOSPITAL - ACUTE CARE","99","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_307","Palatka","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northeast","2","20","7","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"308","308"," ","FLAGLER HOSP","400 HEALTH PARK BLVD","SAINT AUGUSTINE","32086","St. Johns","-81.31698742","29.86253593","-81.31698742,29.86253593","17R MP 69385 03595"," "," ","HOSPITAL - ACUTE CARE","335","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_308",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northeast","2","19","7","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"309","309"," ","S POINTCLIN","6900 SOUTHPOINT DR N","JACKSONVILLE","32209","Duval","-81.58798","30.25512","-81.58798000,30.25512000","17R MP 43435 47201"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_309","Jacksonville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northeast","2","17","5","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"310","310"," ","NAVAL BRNCH HLTH CLIN MAYPORT","2104 MASSEY AVE","JACKSONVILLE","32228","Duval","-81.40487","30.38788","-81.40487000,30.38788000","17R MP 61103 61836"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_310","Jacksonville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northeast","2","16","4","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"311","311"," ","NAVAL HOSP JACKSONVILLE","2080 CHILD STREET","JACKSONVILLE","32214","Duval","-81.68401","30.20871","-81.68401000,30.20871000","17R MP 34166 42110"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_311","Jacksonville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northeast","2","12","5","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"312","312"," ","JACKSONVILLE OUTPATIENT CLIN","1536 N JEFFESON ST","JACKSONVILLE","32209","Duval","-81.66364","30.34402","-81.66364000,30.34402000","17R MP 36214 57093"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_312","Jacksonville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northeast","2","14","5","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"313","313"," ","NAVAL BRANCH HLTH CLIN JACKSONVILLE","814 ENTERPRISE AVE","JACKSONVILLE","32212","Duval","-81.68522","30.22259","-81.68522000,30.22259000","17R MP 34059 43649"," "," ","HOSPITAL - VA","0","MDFLT",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_313","Jacksonville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northeast","2","12","5","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"314","314"," ","LAWNWOOD REGIONAL MED CNTR & HEART","1700 S 23RD ST","FORT PIERCE","34950","St. Lucie","-80.34597843","27.43261156","-80.34597843,27.43261156","17R NL 64639 34522"," "," ","HOSPITAL - TRAUMA","370","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_314","Fort Pierce","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Treasure Coast","Southeast District","Northeast","4","84","29","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Not Affected","Low","Low","Low","Low"
"315","315"," ","ST LUCIE MEDICAL CNTR","1800 SE TIFFANY AVE","PORT SAINT LUCIE","34952","St. Lucie","-80.2944666","27.28889707","-80.29446660,27.28889707","17R NL 69820 18631"," "," ","HOSPITAL - ACUTE CARE","229","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_315","Port St. Lucie","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Treasure Coast","Southeast District","Northeast","4","85","29","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"316","316"," ","TRADITION MEDI CNTR","10000 SW INNOVATION WAY","PORT SAINT LUCIE","34987","St. Lucie","-80.4267","27.2624","-80.42670000,27.26240000","17R NL 56748 15629"," "," ","HOSPITAL - ACUTE CARE","90","EFHM",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_316","Port St. Lucie","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Treasure Coast","Southeast District","Northeast","4","85","31","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","Medium"
